Data,CMN (R$/MWh)
03/01/2020,290.33
10/01/2020,368.51
17/01/2020,268.32
24/01/2020,355.42
31/01/2020,332.64
07/02/2020,190.97250000000003
14/02/2020,156.36749999999998
21/02/2020,148.70749999999998
28/02/2020,122.525
06/03/2020,60.33
13/03/2020,92.2925
20/03/2020,115.90750000000001
27/03/2020,95.7925
03/04/2020,39.68
10/04/2020,39.68
17/04/2020,39.68
24/04/2020,39.68
01/05/2020,39.68
08/05/2020,46.765
15/05/2020,50.505
22/05/2020,59.28
29/05/2020,65.545
05/06/2020,71.885
05/06/2020,71.885
12/06/2020,77.3
19/06/2020,106.945
26/06/2020,103.445
03/07/2020,94.6625
10/07/2020,83.69
17/07/2020,85.425
24/07/2020,90.21499999999999
31/07/2020,90.17
07/08/2020,87.9925
14/08/2020,96.5625
21/08/2020,89.08500000000001
28/08/2020,57.907500000000006
04/09/2020,63.1375
11/09/2020,70.9875
18/09/2020,82.59
25/09/2020,96.33250000000001
02/10/2020,169.58499999999998
09/10/2020,237.6325
16/10/2020,253.7375
23/10/2020,291.7075
30/10/2020,284.04999999999995
06/11/2020,315.72749999999996
13/11/2020,469.0025
20/11/2020,426.61999999999995
27/11/2020,468.885
04/12/2020,559.75
04/12/2020,559.75
11/12/2020,208.13750000000002
18/12/2020,264.24
25/12/2020,198.2175
01/01/2021,220.89
08/01/2021,296.03000000000003
15/01/2021,306.115
22/01/2021,214.58499999999998
29/01/2021,180.10500000000002
05/02/2021,146.6225
12/02/2021,170.24749999999997
19/02/2021,173.4025
26/02/2021,184.16750000000002
05/03/2021,91.88499999999999
12/03/2021,63.65
19/03/2021,93.9
26/03/2021,96.885
02/04/2021,86.2125
09/04/2021,88.0075
16/04/2021,85.0975
23/04/2021,143.88500000000002
30/04/2021,128.065
07/05/2021,185.7725
07/05/2021,185.7725
14/05/2021,172.175
21/05/2021,219.1725
28/05/2021,227.11
04/06/2021,251.7325
11/06/2021,274.2775
18/06/2021,284.01750000000004
25/06/2021,314.2475
02/07/2021,583.88
09/07/2021,583.88
16/07/2021,583.88
23/07/2021,583.88
30/07/2021,583.88
06/08/2021,583.88
13/08/2021,583.88
20/08/2021,583.88
27/08/2021,583.88
03/09/2021,583.88
10/09/2021,583.88
17/09/2021,583.88
24/09/2021,583.88
01/10/2021,541.48
01/10/2021,541.48
08/10/2021,451.89
15/10/2021,209.43
22/10/2021,177.38
29/10/2021,161.22
05/11/2021,101.07
12/11/2021,107.09
19/11/2021,74.1
26/11/2021,94.0975
03/12/2021,50.79
10/12/2021,59.15
17/12/2021,82.26
24/12/2021,66.33
31/12/2021,64.88
07/01/2022,64.265
14/01/2022,56.53
21/01/2022,58.9075
28/01/2022,60.75999999999999
04/02/2022,55.7
11/02/2022,55.7
18/02/2022,55.7
25/02/2022,55.7
04/03/2022,55.7
11/03/2022,55.7
18/03/2022,55.7
25/03/2022,55.7
01/04/2022,55.7
01/04/2022,55.7
08/04/2022,55.7
15/04/2022,55.7
22/04/2022,55.7
29/04/2022,55.7
06/05/2022,55.7
13/05/2022,55.7
20/05/2022,55.7
27/05/2022,55.7
03/06/2022,55.7
10/06/2022,55.76
17/06/2022,55.7
24/06/2022,55.7
01/07/2022,55.7
08/07/2022,57.167500000000004
15/07/2022,59.0
22/07/2022,68.80499999999999
29/07/2022,71.35
05/08/2022,110.915
12/08/2022,91.03
19/08/2022,69.36
26/08/2022,56.26
02/09/2022,59.93
09/09/2022,55.7
16/09/2022,55.7
23/09/2022,55.7
30/09/2022,55.7
07/10/2022,55.7
07/10/2022,55.7
14/10/2022,55.7
21/10/2022,55.7
28/10/2022,55.7
04/11/2022,55.7
11/11/2022,55.7
18/11/2022,55.7
25/11/2022,55.7
02/12/2022,55.7
09/12/2022,55.7
16/12/2022,55.7
23/12/2022,55.7
30/12/2022,55.7
06/01/2023,67.13
