Data,Demanda (MW)
10/01/2020,83.549
17/01/2020,84.919
24/01/2020,80.29
31/01/2020,83.811
07/02/2020,81.55
14/02/2020,80.501
21/02/2020,86.961
28/02/2020,76.914
06/03/2020,78.943
13/03/2020,84.269
20/03/2020,83.216
27/03/2020,73.291
03/04/2020,71.789
10/04/2020,70.334
17/04/2020,69.983
24/04/2020,69.942
01/05/2020,70.724
08/05/2020,69.775
15/05/2020,70.769
22/05/2020,70.806
29/05/2020,71.087
05/06/2020,71.84
12/06/2020,71.821
19/06/2020,70.98
26/06/2020,72.03
03/07/2020,72.395
10/07/2020,72.867
17/07/2020,73.255
24/07/2020,73.679
31/07/2020,74.591
07/08/2020,73.967
14/08/2020,76.178
21/08/2020,77.187
28/08/2020,75.757
04/09/2020,76.756
11/09/2020,79.145
18/09/2020,78.517
25/09/2020,76.999
02/10/2020,85.11
09/10/2020,84.529
16/10/2020,81.086
23/10/2020,78.519
30/10/2020,80.323
06/11/2020,76.001
13/11/2020,78.929
20/11/2020,80.968
27/11/2020,82.024
04/12/2020,83.076
11/12/2020,79.609
18/12/2020,83.401
25/12/2020,80.308
01/01/2021,77.895
08/01/2021,82.832
15/01/2021,84.022
22/01/2021,80.938
29/01/2021,84.168
05/02/2021,86.764
12/02/2021,80.232
19/02/2021,81.268
26/02/2021,84.772
05/03/2021,82.472
12/03/2021,82.772
19/03/2021,84.819
26/03/2021,84.128
02/04/2021,82.024
09/04/2021,81.443
16/04/2021,81.02
23/04/2021,80.076
30/04/2021,80.852
07/05/2021,81.322
14/05/2021,80.939
21/05/2021,82.088
28/05/2021,82.576
04/06/2021,80.811
11/06/2021,80.759
18/06/2021,80.323
25/06/2021,79.756
02/07/2021,79.22
09/07/2021,79.489
16/07/2021,80.507
23/07/2021,80.392
30/07/2021,81.457
06/08/2021,80.32
13/08/2021,80.853
20/08/2021,82.977
27/08/2021,84.024
03/09/2021,81.659
10/09/2021,82.97
17/09/2021,83.51
24/09/2021,84.325
01/10/2021,84.14
08/10/2021,82.619
15/10/2021,81.668
22/10/2021,79.624
29/10/2021,82.309
05/11/2021,82.441
12/11/2021,81.764
19/11/2021,83.405
26/11/2021,87.214
03/12/2021,85.503
10/12/2021,81.496
17/12/2021,84.198
24/12/2021,81.587
31/12/2021,78.442
07/01/2022,81.262
14/01/2022,82.655
21/01/2022,87.005
28/01/2022,88.792
04/02/2022,84.213
11/02/2022,82.717
18/02/2022,85.989
25/02/2022,87.879
04/03/2022,88.003
11/03/2022,89.107
18/03/2022,87.979
25/03/2022,84.823
01/04/2022,84.393
08/04/2022,83.559
15/04/2022,84.365
22/04/2022,82.002
29/04/2022,85.56
06/05/2022,82.902
13/05/2022,82.22
20/05/2022,81.846
27/05/2022,82.291
03/06/2022,82.658
10/06/2022,81.29
17/06/2022,80.277
24/06/2022,81.802
01/07/2022,81.014
08/07/2022,81.988
15/07/2022,82.535
22/07/2022,82.579
29/07/2022,83.005
05/08/2022,83.181
12/08/2022,82.323
19/08/2022,82.768
26/08/2022,82.165
02/09/2022,81.697
09/09/2022,83.586
16/09/2022,83.875
23/09/2022,83.855
30/09/2022,83.973
07/10/2022,83.307
14/10/2022,83.199
21/10/2022,83.871
28/10/2022,84.548
04/11/2022,82.47
11/11/2022,83.646
18/11/2022,84.677
25/11/2022,85.453
02/12/2022,83.822
09/12/2022,85.056
16/12/2022,86.535
23/12/2022,79.522
30/12/2022,78.58
06/01/2023,80.131
