Data,Fechamento
01/01/2020,116662.0
08/01/2020,117632.0
15/01/2020,117026.0
22/01/2020,116479.0
29/01/2020,115557.0
05/02/2020,115371.0
12/02/2020,114977.0
19/02/2020,113681.0
26/02/2020,105537.0
04/03/2020,92214.0
11/03/2020,74617.0
18/03/2020,69729.0
25/03/2020,73020.0
01/04/2020,76358.0
08/04/2020,79918.0
15/04/2020,78973.0
22/04/2020,81312.0
29/04/2020,79471.0
06/05/2020,77872.0
13/05/2020,80742.0
20/05/2020,85469.0
27/05/2020,91046.0
03/06/2020,96747.0
10/06/2020,93531.0
17/06/2020,95975.0
24/06/2020,95056.0
01/07/2020,97761.0
08/07/2020,100440.0
15/07/2020,104310.0
22/07/2020,104109.0
29/07/2020,101216.0
05/08/2020,102174.0
12/08/2020,102065.0
19/08/2020,102118.0
26/08/2020,102168.0
02/09/2020,100050.0
09/09/2020,100298.0
16/09/2020,97294.0
23/09/2020,93580.0
30/09/2020,95615.0
07/10/2020,98503.0
14/10/2020,100540.0
21/10/2020,99606.0
28/10/2020,95587.0
04/11/2020,105351.0
11/11/2020,107229.0
18/11/2020,109786.0
25/11/2020,111335.0
02/12/2020,113571.0
09/12/2020,116146.0
16/12/2020,116348.0
23/12/2020,119475.0
30/12/2020,119223.0
06/01/2021,123998.0
13/01/2021,120673.0
20/01/2021,116464.0
27/01/2021,118234.0
03/02/2021,119429.0
10/02/2021,119116.0
17/02/2021,115227.0
24/02/2021,111540.0
03/03/2021,111331.0
10/03/2021,114019.0
17/03/2021,113262.0
24/03/2021,116850.0
31/03/2021,117499.0
07/04/2021,119297.0
14/04/2021,120062.0
21/04/2021,119388.0
28/04/2021,117712.0
05/05/2021,122964.0
12/05/2021,122980.0
19/05/2021,122988.0
26/05/2021,128267.0
02/06/2021,129787.0
09/06/2021,130091.0
16/06/2021,128767.0
23/06/2021,127327.0
30/06/2021,125095.0
07/07/2021,128168.0
14/07/2021,125401.0
21/07/2021,124612.0
28/07/2021,123577.0
04/08/2021,122202.0
11/08/2021,117904.0
18/08/2021,120211.0
25/08/2021,118781.0
01/09/2021,117869.0
08/09/2021,116181.0
15/09/2021,110250.0
22/09/2021,110124.0
29/09/2021,110458.0
06/10/2021,112180.0
13/10/2021,110673.0
20/10/2021,106420.0
27/10/2021,105551.0
03/11/2021,105535.0
10/11/2021,104508.0
17/11/2021,103663.0
24/11/2021,101915.0
01/12/2021,107558.0
08/12/2021,106760.0
15/12/2021,105500.0
22/12/2021,104864.0
29/12/2021,103514.0
05/01/2022,103779.0
12/01/2022,106522.0
19/01/2022,109845.0
26/01/2022,113147.0
02/02/2022,112234.0
09/02/2022,114660.0
16/02/2022,112892.0
23/02/2022,113142.0
02/03/2022,111203.0
09/03/2022,108959.0
16/03/2022,117272.0
23/03/2022,120014.0
30/03/2022,118885.0
06/04/2022,116147.0
13/04/2022,115057.0
20/04/2022,108213.0
27/04/2022,106528.0
04/05/2022,103110.0
11/05/2022,108789.0
18/05/2022,110581.0
25/05/2022,111351.0
01/06/2022,110070.0
08/06/2022,102063.0
15/06/2022,99685.0
22/06/2022,100591.0
29/06/2022,98295.0
06/07/2022,98271.0
13/07/2022,98245.0
20/07/2022,99772.0
27/07/2022,103362.0
03/08/2022,108651.0
10/08/2022,113512.0
17/08/2022,112857.0
24/08/2022,110431.0
31/08/2022,109764.0
07/09/2022,110794.0
14/09/2022,112517.0
21/09/2022,108376.0
28/09/2022,116230.0
05/10/2022,114827.0
12/10/2022,115743.0
19/10/2022,114626.0
26/10/2022,116929.0
02/11/2022,116160.0
09/11/2022,113161.0
16/11/2022,109037.0
23/11/2022,110910.0
30/11/2022,109533.0
07/12/2022,103892.0
14/12/2022,106979.0
21/12/2022,108347.0
28/12/2022,110031.0
