ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2021;5;1;1/5/2021;7/5/2021;207,05;239,8;149,74;146,5
2021;5;2;8/5/2021;14/5/2021;191,8;192,04;151,85;153,01
2021;5;3;15/5/2021;21/5/2021;230,39;230,41;207,93;207,96
2021;5;4;22/5/2021;28/5/2021;231,73;231,73;221,99;222,99
2021;5;5;29/5/2021;4/6/2021;252,82;252,82;250,52;250,77
2021;6;6;5/6/2021;11/6/2021;276,15;276,15;271,74;273,07
2021;6;7;12/6/2021;18/6/2021;284,47;284,47;282,85;284,28
2021;6;8;19/6/2021;25/6/2021;321,3;321,3;293,7;320,69
2021;6;9;26/6/2021;2/7/2021;583,88;583,88;583,88;583,88
2021;7;10;3/7/2021;9/7/2021;583,88;583,88;583,88;583,88
2021;7;11;10/7/2021;16/7/2021;583,88;583,88;583,88;583,88
2021;7;12;17/7/2021;23/7/2021;583,88;583,88;583,88;583,88
2021;7;13;24/7/2021;30/7/2021;583,88;583,88;583,88;583,88
2021;7;14;31/7/2021;6/8/2021;583,88;583,88;583,88;583,88
2021;8;15;7/8/2021;13/8/2021;583,88;583,88;583,88;583,88
2021;8;16;14/8/2021;20/8/2021;583,88;583,88;583,88;583,88
2021;8;17;21/8/2021;27/8/2021;583,88;583,88;583,88;583,88
2021;8;18;28/8/2021;3/9/2021;583,88;583,88;583,88;583,88
2021;9;19;4/9/2021;10/9/2021;583,88;583,88;583,88;583,88
2021;9;20;11/9/2021;17/9/2021;583,88;583,88;583,88;583,88
2021;9;21;18/9/2021;24/9/2021;583,88;583,88;583,88;583,88
2021;9;22;25/9/2021;1/10/2021;549,01;549,01;518,89;549,01
