ANO;MES;SEMANA;DATA_INICIO;DATA_FIM;SUDESTE;SUL;NORDESTE;NORTE
2021;9;1;25/9/2021;1/10/2021;549,01;549,01;518,89;549,01
2021;10;2;2/10/2021;8/10/2021;452,28;452,28;450,72;452,28
2021;10;3;9/10/2021;15/10/2021;209,43;209,43;209,43;209,43
2021;10;4;16/10/2021;22/10/2021;177,38;177,38;177,38;177,38
2021;10;5;23/10/2021;29/10/2021;161,22;161,22;161,22;161,22
2021;10;6;30/10/2021;5/11/2021;101,07;101,07;101,07;101,07
2021;11;7;6/11/2021;12/11/2021;107,09;107,09;107,09;107,09
2021;11;8;13/11/2021;19/11/2021;74,13;74,13;74,01;74,13
2021;11;9;20/11/2021;26/11/2021;94,1;94,1;94,09;94,1
2021;11;10;27/11/2021;3/12/2021;50,79;50,79;50,79;50,79
2021;12;11;4/12/2021;10/12/2021;59,15;59,15;59,15;59,15
2021;12;12;11/12/2021;17/12/2021;82,26;82,26;82,26;82,26
2021;12;13;18/12/2021;24/12/2021;66,34;66,34;66,32;66,32
2021;12;14;25/12/2021;31/12/2021;65,5;65,5;64,59;63,93
2022;1;15;1/1/2022;7/1/2022;69,7;69,71;61,92;55,73
2022;1;16;8/1/2022;14/1/2022;57,09;57,11;56,22;55,7
2022;1;17;15/1/2022;21/1/2022;62,1;62,13;55,7;55,7
2022;1;18;22/1/2022;28/1/2022;65,82;65,82;55,7;55,7
2022;1;19;29/1/2022;4/2/2022;55,7;55,7;55,7;55,7
2022;2;20;5/2/2022;11/2/2022;55,7;55,7;55,7;55,7
2022;2;21;12/2/2022;18/2/2022;55,7;55,7;55,7;55,7
2022;2;22;19/2/2022;25/2/2022;55,7;55,7;55,7;55,7
2022;2;23;26/2/2022;4/3/2022;55,7;55,7;55,7;55,7
2022;3;24;5/3/2022;11/3/2022;55,7;55,7;55,7;55,7
2022;3;25;12/3/2022;18/3/2022;55,7;55,7;55,7;55,7
2022;3;26;19/3/2022;25/3/2022;55,7;55,7;55,7;55,7
2022;3;27;26/3/2022;1/4/2022;55,7;55,7;55,7;55,7
